ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group	mice	celltypes
GO:0006066	GO:0006066	alcohol metabolic process	15/274	359/28943	1.98688170376805e-06	0.000252792487540951	0.000194022618197917	Aldh1a1/Apob/Bmp2/Ces1f/Ces1g/Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9/Ephx2/Inpp5j/Ipmk/Nfkb1/Scp2/Sod1	15	1	GF	EC (Car1 high)
GO:0090181	GO:0090181	regulation of cholesterol metabolic process	6/274	41/28943	2.32025402160351e-06	0.000284274085313496	0.00021818529045254	Apob/Ces1f/Ces1g/Ephx2/Scp2/Sod1	6	1	GF	EC (Car1 high)
GO:0021915	GO:0021915	neural tube development	11/274	200/28943	3.58602460979568e-06	0.000382663529329165	0.000293700895036577	Abl1/Cited2/Ipmk/Lmo4/Lrp6/Plxna2/Sdc4/Sema3c/Shroom3/Spint1/Spint2	11	1	GF	EC (Car1 high)
GO:0070989	GO:0070989	oxidative demethylation	5/274	27/28943	4.99039102389088e-06	0.000473081351745334	0.000363098141796521	Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9/Cyp3a13	5	1	GF	EC (Car1 high)
GO:0055076	GO:0055076	transition metal ion homeostasis	9/274	137/28943	6.67546390422999e-06	0.000589525833778728	0.000452471301175552	Atox1/Btbd9/Ftl1/Mt1/Mt2/Neo1/Slc30a4/Slc40a1/Sod1	9	1	GF	EC (Car1 high)
GO:0040013	GO:0040013	negative regulation of locomotion	14/274	360/28943	9.8799610406144e-06	0.000760076730301294	0.000583372072006212	Afdn/Cited2/Dpep1/Dusp1/Hnf4a/Magi2/Nbl1/Ptprr/Rap2b/Sema3c/Slc9a3r1/Spint2/Tpm1/Trib1	14	1	GF	EC (Car1 high)
GO:0009698	GO:0009698	phenylpropanoid metabolic process	4/274	15/28943	9.88007841685479e-06	0.000760076730301294	0.000583372072006212	Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9	4	1	GF	EC (Car1 high)
GO:0009804	GO:0009804	coumarin metabolic process	4/274	15/28943	9.88007841685479e-06	0.000760076730301294	0.000583372072006212	Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9	4	1	GF	EC (Car1 high)
GO:1903532	GO:1903532	positive regulation of secretion by cell	14/274	365/28943	1.15333922694253e-05	0.000809478605710323	0.000621288868126169	Bmp2/Bsg/Edn1/Edn3/Glrx/Glul/Golph3l/Lamp1/Malrd1/Oxct1/Sdc4/Sdcbp/Trpm4/Vdr	14	1	GF	EC (Car1 high)
GO:0030511	GO:0030511	positive regulation of transforming growth factor beta receptor signaling pathway	5/274	32/28943	1.19757072994054e-05	0.000809478605710323	0.000621288868126169	Cdkn2b/Cited2/Fermt1/Hsp90ab1/Sdcbp	5	1	GF	EC (Car1 high)
GO:0051085	GO:0051085	chaperone cofactor-dependent protein refolding	5/274	32/28943	1.19757072994054e-05	0.000809478605710323	0.000621288868126169	Bag1/Hspa1a/Hspa1b/Hspa8/Hsph1	5	1	GF	EC (Car1 high)
GO:1903846	GO:1903846	positive regulation of cellular response to transforming growth factor beta stimulus	5/274	32/28943	1.19757072994054e-05	0.000809478605710323	0.000621288868126169	Cdkn2b/Cited2/Fermt1/Hsp90ab1/Sdcbp	5	1	GF	EC (Car1 high)
GO:0010876	GO:0010876	lipid localization	16/274	470/28943	1.22060679830595e-05	0.000809478605710323	0.000621288868126169	Abcb1a/Abcg2/Acsl3/Apob/Ces1f/Ces1g/Edn1/Fabp2/Fis1/Lrp6/Osbpl3/Osbpl6/Plscr1/Scp2/Slc10a2/Smim22	16	1	GF	EC (Car1 high)
GO:0060606	GO:0060606	tube closure	8/274	113/28943	1.26376065788125e-05	0.000809478605710323	0.000621288868126169	Abl1/Cited2/Lmo4/Lrp6/Sdc4/Shroom3/Spint1/Spint2	8	1	GF	EC (Car1 high)
GO:0062012	GO:0062012	regulation of small molecule metabolic process	14/274	368/28943	1.26388954040706e-05	0.000809478605710323	0.000621288868126169	Apob/Bmp2/Ces1f/Ces1g/Cyp2j6/Ephx2/Fam3c/Fis1/Hnf4a/Isx/Malrd1/Nfkb1/Scp2/Sod1	14	1	GF	EC (Car1 high)
GO:0006869	GO:0006869	lipid transport	15/274	419/28943	1.27245730039108e-05	0.000809478605710323	0.000621288868126169	Abcb1a/Abcg2/Acsl3/Apob/Ces1f/Ces1g/Edn1/Fabp2/Fis1/Lrp6/Osbpl3/Osbpl6/Plscr1/Scp2/Slc10a2	15	1	GF	EC (Car1 high)
GO:0006875	GO:0006875	cellular metal ion homeostasis	15/274	425/28943	1.50298324283792e-05	0.000902283211596002	0.000692518012591344	Abl1/Atox1/Atp1b1/Edn1/Edn3/Fis1/Ftl1/Gsto1/Mt1/Mt2/Nr3c2/Slc30a4/Slc40a1/Sod1/Vdr	15	1	GF	EC (Car1 high)
GO:2000146	GO:2000146	negative regulation of cell motility	13/274	325/28943	1.52744437271391e-05	0.000902283211596002	0.000692518012591344	Afdn/Cited2/Dpep1/Dusp1/Hnf4a/Magi2/Nbl1/Ptprr/Rap2b/Slc9a3r1/Spint2/Tpm1/Trib1	13	1	GF	EC (Car1 high)
GO:1901617	GO:1901617	organic hydroxy compound biosynthetic process	11/274	234/28943	1.58465345974723e-05	0.000919655025411202	0.000705851180962203	Apob/Bmp2/Ces1f/Ces1g/Ddc/Ipmk/Ldha/Malrd1/Nfkb1/Scp2/Sod1	11	1	GF	EC (Car1 high)
GO:0061307	GO:0061307	cardiac neural crest cell differentiation involved in heart development	4/274	18/28943	2.16581730843557e-05	0.0012143260434415	0.000932016297581909	Cited2/Edn1/Lrp6/Sema3c	4	1	GF	EC (Car1 high)
GO:0042326	GO:0042326	negative regulation of phosphorylation	14/274	394/28943	2.68793798166617e-05	0.00141138076878598	0.00108325921667148	Abl1/Bag1/Bmp2/Cdkn2b/Chordc1/Dnaja1/Dusp1/Hexim1/Hnf4a/Inpp5j/Lrp6/Rb1/Spink1/Trib1	14	1	GF	EC (Car1 high)
GO:0046394	GO:0046394	carboxylic acid biosynthetic process	12/274	298/28943	3.04179597565418e-05	0.00148514952837186	0.00113987801897567	Acsl3/Aldh1a1/Ces1f/Ces1g/Edn1/Glul/Gsto1/Hnf4a/Ldha/Malrd1/Mgst2/Ugdh	12	1	GF	EC (Car1 high)
GO:0016053	GO:0016053	organic acid biosynthetic process	12/274	299/28943	3.14269851832014e-05	0.00148514952837186	0.00113987801897567	Acsl3/Aldh1a1/Ces1f/Ces1g/Edn1/Glul/Gsto1/Hnf4a/Ldha/Malrd1/Mgst2/Ugdh	12	1	GF	EC (Car1 high)
GO:0042572	GO:0042572	retinol metabolic process	5/274	41/28943	4.15717678630088e-05	0.00187344858520389	0.00143790427910386	Aldh1a1/Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9	5	1	GF	EC (Car1 high)
GO:0035966	GO:0035966	response to topologically incorrect protein	8/274	138/28943	5.34750010119511e-05	0.00229734160191603	0.00176324952072216	Creb3l3/Hsp90aa1/Hspa1a/Hspa1b/Hspa4l/Hspa8/Hsph1/Rnf5	8	1	GF	EC (Car1 high)
GO:0048675	GO:0048675	axon extension	8/274	138/28943	5.34750010119511e-05	0.00229734160191603	0.00176324952072216	Abl1/Cdkl3/Edn1/Edn3/Hsp90aa1/Hsp90ab1/Sema3c/Vcl	8	1	GF	EC (Car1 high)
GO:0072348	GO:0072348	sulfur compound transport	5/274	48/28943	8.99935510640888e-05	0.00363047154780495	0.00278644987376871	Abcg2/Slc13a1/Slc3a1/Slc6a6/Slc9a3r1	5	1	GF	EC (Car1 high)
GO:0006766	GO:0006766	vitamin metabolic process	6/274	82/28943	0.000130664032045661	0.00485842459868647	0.00372892513588486	Cyp4f14/Gclc/Gsto1/Isx/Nfkb1/Rfk	6	1	GF	EC (Car1 high)
GO:0046688	GO:0046688	response to copper ion	4/274	28/28943	0.00013451230938679	0.00494407466057223	0.00379466304375365	Aoc1/Mt1/Mt2/Sod1	4	1	GF	EC (Car1 high)
GO:0016311	GO:0016311	dephosphorylation	12/274	351/28943	0.000144417764251483	0.00519276047982506	0.00398553372282124	Acp5/Alpi/Bmp2/Dusp1/Ephx2/Hsp90ab1/Hsp90b1/Inpp5j/Magi2/Ppm1j/Ptprd/Ptprr	12	1	GF	EC (Car1 high)
GO:0006979	GO:0006979	response to oxidative stress	13/274	407/28943	0.000150785535661485	0.00536342528998057	0.00411652192434072	Abl1/Aldh1a1/Atox1/Cst3/Edn1/Gclc/Glrx/Gpx4/Mcl1/Mgat3/Nfkb1/Sod1/Txnip	13	1	GF	EC (Car1 high)
GO:1903055	GO:1903055	positive regulation of extracellular matrix organization	4/274	29/28943	0.000154877775295862	0.00545037958168841	0.00418326085121633	Abl1/Bmp2/Cyp2j6/Rb1	4	1	GF	EC (Car1 high)
GO:0022600	GO:0022600	digestive system process	7/274	121/28943	0.000159068579399475	0.00546986041136129	0.0041982127258332	Abcb1a/Abcg2/Fabp2/Gcnt3/Isx/Slc5a1/Vdr	7	1	GF	EC (Car1 high)
GO:0042176	GO:0042176	regulation of protein catabolic process	12/274	355/28943	0.000160391916536289	0.00546986041136129	0.0041982127258332	Gabarap/Gabarapl2/Gclc/Hsp90aa1/Hsp90ab1/Hspa1a/Hspa1b/Mgat3/Sdcbp/Sh3d19/Snx3/Trib1	12	1	GF	EC (Car1 high)
GO:0045862	GO:0045862	positive regulation of proteolysis	12/274	357/28943	0.000168930209009107	0.00570225644287882	0.00437658071031112	Cldn4/Ctsd/Fis1/Gabarap/Gclc/Hspa1a/Hspa1b/Hspa8/Psenen/Sh3d19/Sumo3/Trib1	12	1	GF	EC (Car1 high)
GO:0003044	GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal	5/274	56/28943	0.000188759783653132	0.00630724610428848	0.00484092076737218	Edn1/Edn3/Enpep/Nr3c2/Tpm1	5	1	GF	EC (Car1 high)
GO:0010460	GO:0010460	positive regulation of heart rate	4/274	31/28943	0.000202151061326414	0.00659427509493257	0.00506122049544242	Edn1/Edn3/Tpm1/Trpm4	4	1	GF	EC (Car1 high)
GO:0051353	GO:0051353	positive regulation of oxidoreductase activity	5/274	57/28943	0.000205323559485506	0.00659427509493257	0.00506122049544242	Abl1/Edn1/Edn3/Rfk/Vdr	5	1	GF	EC (Car1 high)
GO:0034767	GO:0034767	positive regulation of ion transmembrane transport	9/274	213/28943	0.000209529125740633	0.00661662749933645	0.00507837635346513	Abcb1a/Abl1/Atp1b1/Ctss/Edn1/Edn3/Glrx/Gsto1/Slc9a3r1	9	1	GF	EC (Car1 high)
GO:0070633	GO:0070633	transepithelial transport	4/274	32/28943	0.000229318969044558	0.00708959952896634	0.00544139058864215	Abcb1a/Abcg2/Edn1/Slc5a1	4	1	GF	EC (Car1 high)
GO:0043297	GO:0043297	apical junction assembly	6/274	92/28943	0.00024593374079504	0.0075328593939814	0.00578160022219918	Afdn/Cldn15/Cldn4/Cldn7/Ocel1/Vcl	6	1	GF	EC (Car1 high)
GO:0030522	GO:0030522	intracellular receptor signaling pathway	9/274	218/28943	0.000248849535446174	0.00755224094730222	0.00579647590049417	Bmp2/Cited2/Cyp2j6/Dnaja1/Fkbp4/Lbh/Nr3c2/Uba5/Vdr	9	1	GF	EC (Car1 high)
GO:0051222	GO:0051222	positive regulation of protein transport	11/274	321/28943	0.00026642084646522	0.00786893000095489	0.00603954024129803	Acsl3/Bsg/Ergic3/Fis1/Glrx/Glul/Golph3l/Hsp90ab1/Malrd1/Oxct1/Trpm4	11	1	GF	EC (Car1 high)
GO:0015849	GO:0015849	organic acid transport	11/274	322/28943	0.000273574071170064	0.00800869935779267	0.00614681564659706	Abcb1a/Abcg2/Acsl3/Edn1/Fabp2/Fis1/Slc10a2/Slc22a4/Slc3a1/Slc6a6/Slc9a3r1	11	1	GF	EC (Car1 high)
GO:1990778	GO:1990778	protein localization to cell periphery	12/274	377/28943	0.000277979856730354	0.00806629268477204	0.00619101952385609	Acsl3/Afdn/Atp1b1/Bsg/Dlg2/Golph3l/Lrp6/Magi2/Pgrmc1/Scp2/Slc9a3r1/Tmem59	12	1	GF	EC (Car1 high)
GO:0032782	GO:0032782	bile acid secretion	3/274	14/28943	0.000282750668381903	0.00813338444354205	0.00624251361223937	Ces1f/Ces1g/Slc9a3r1	3	1	GF	EC (Car1 high)
GO:0051341	GO:0051341	regulation of oxidoreductase activity	6/274	95/28943	0.000292759749744102	0.00834870044959904	0.00640777238096891	Abl1/Edn1/Edn3/Nfkb1/Rfk/Vdr	6	1	GF	EC (Car1 high)
GO:0051402	GO:0051402	neuron apoptotic process	11/274	329/28943	0.000328331644055598	0.00892435123428945	0.00684959434134353	Abl1/Bag1/Fis1/Gclc/Hsp90ab1/Hsph1/Mcl1/Mt1/Rb1/Sod1/Trim2	11	1	GF	EC (Car1 high)
GO:1902905	GO:1902905	positive regulation of supramolecular fiber organization	8/274	180/28943	0.000334796538414278	0.00900412153719051	0.00691081943222284	Abl1/Dstn/Edn1/Fchsd2/Pdlim4/Rb1/Sdc4/Tpm1	8	1	GF	EC (Car1 high)
GO:0060560	GO:0060560	developmental growth involved in morphogenesis	10/274	278/28943	0.000344165865133508	0.00909200114875887	0.00697826855813861	Abl1/Afdn/Cdkl3/Edn1/Edn3/Hsp90aa1/Hsp90ab1/Lrp6/Sema3c/Vcl	10	1	GF	EC (Car1 high)
GO:0030595	GO:0030595	leukocyte chemotaxis	9/274	228/28943	0.00034596679666363	0.00909200114875887	0.00697826855813861	Bsg/Dpep1/Dusp1/Edn1/Edn3/Il17rc/Mpp1/Nbl1/Trpm4	9	1	GF	EC (Car1 high)
GO:0042632	GO:0042632	cholesterol homeostasis	6/274	98/28943	0.000346309596355386	0.00909200114875887	0.00697826855813861	Apob/Ces1f/Ces1g/Ephx2/Hnf4a/Malrd1	6	1	GF	EC (Car1 high)
GO:0007586	GO:0007586	digestion	7/274	138/28943	0.000356299702691744	0.00921334695553984	0.00707140356926179	Abcb1a/Abcg2/Fabp2/Gcnt3/Isx/Slc5a1/Vdr	7	1	GF	EC (Car1 high)
GO:0010043	GO:0010043	response to zinc ion	4/274	36/28943	0.000364645024860147	0.00930733474807575	0.00714354083000022	Aldob/Mt1/Mt2/Slc30a4	4	1	GF	EC (Car1 high)
GO:0006790	GO:0006790	sulfur compound metabolic process	11/274	335/28943	0.000382348621218317	0.00958188817416813	0.0073542653459217	Acsl3/Dpep1/Gclc/Glo1/Gpx4/Gsta1/Gsto1/Hnf4a/Mgst2/Sod1/Ugdh	11	1	GF	EC (Car1 high)
GO:1904951	GO:1904951	positive regulation of establishment of protein localization	11/274	337/28943	0.000401935337969451	0.00999700825566123	0.00767287720761627	Acsl3/Bsg/Ergic3/Fis1/Glrx/Glul/Golph3l/Hsp90ab1/Malrd1/Oxct1/Trpm4	11	1	GF	EC (Car1 high)
GO:0016042	GO:0016042	lipid catabolic process	11/274	338/28943	0.000412040280293711	0.0101131128003454	0.00776198945918446	Acad11/Apob/Ces1f/Ces1g/Cyp4f14/Hpgd/Hsd17b11/Mgst2/Neu1/Oxct1/Scp2	11	1	GF	EC (Car1 high)
GO:0097305	GO:0097305	response to alcohol	9/274	234/28943	0.000417945019236479	0.0101131128003454	0.00776198945918446	Aldh1a1/Ces1f/Ces1g/Grin3a/Hpgd/Hsd3b3/Lrp6/Sdf4/Sod1	9	1	GF	EC (Car1 high)
GO:0042182	GO:0042182	ketone catabolic process	3/274	16/28943	0.000428943598969545	0.0101131128003454	0.00776198945918446	Cyp4f14/Glo1/Oxct1	3	1	GF	EC (Car1 high)
GO:0042428	GO:0042428	serotonin metabolic process	3/274	16/28943	0.000428943598969545	0.0101131128003454	0.00776198945918446	Btbd9/Ddc/Maoa	3	1	GF	EC (Car1 high)
GO:0070857	GO:0070857	regulation of bile acid biosynthetic process	3/274	16/28943	0.000428943598969545	0.0101131128003454	0.00776198945918446	Ces1f/Ces1g/Malrd1	3	1	GF	EC (Car1 high)
GO:0003018	GO:0003018	vascular process in circulatory system	9/274	235/28943	0.000431060733025605	0.0101131128003454	0.00776198945918446	Abcb1a/Abcg2/Abl1/Edn1/Edn3/Gclc/Slc5a1/Sod1/Trpm4	9	1	GF	EC (Car1 high)
GO:0000045	GO:0000045	autophagosome assembly	6/274	104/28943	0.000476228514198644	0.0110075932760653	0.00844851873667332	Atg16l2/Ctsd/Gabarap/Gabarapl1/Gabarapl2/Rnf5	6	1	GF	EC (Car1 high)
GO:0043523	GO:0043523	regulation of neuron apoptotic process	10/274	290/28943	0.000479169719393412	0.0110075932760653	0.00844851873667332	Abl1/Bag1/Fis1/Gclc/Hsp90ab1/Hsph1/Mcl1/Mt1/Sod1/Trim2	10	1	GF	EC (Car1 high)
GO:0097254	GO:0097254	renal tubular secretion	4/274	39/28943	0.000497958373718991	0.0113603193121546	0.00871924208646248	Abcg2/Edn1/Nr3c2/Slc9a3r1	4	1	GF	EC (Car1 high)
GO:0042180	GO:0042180	cellular ketone metabolic process	9/274	241/28943	0.00051706322688687	0.0115606407338798	0.00887299225167636	Bmp2/Ces1f/Ces1g/Cyp4f14/Glo1/Hnf4a/Malrd1/Oxct1/Scp2	9	1	GF	EC (Car1 high)
GO:1901569	GO:1901569	fatty acid derivative catabolic process	3/274	17/28943	0.00051722334601397	0.0115606407338798	0.00887299225167636	Cyp4f14/Hpgd/Oxct1	3	1	GF	EC (Car1 high)
GO:0042398	GO:0042398	cellular modified amino acid biosynthetic process	4/274	40/28943	0.000549199859923061	0.0119892123800106	0.00920192842251178	Ckmt1/Gclc/Mgst2/Plscr1	4	1	GF	EC (Car1 high)
GO:0044282	GO:0044282	small molecule catabolic process	11/274	350/28943	0.000550894885659495	0.0119892123800106	0.00920192842251178	Acad11/Aldh1a1/Aldob/Ces1f/Cyp4f14/Esd/Glo1/Inpp5j/Ldha/Oxct1/Scp2	11	1	GF	EC (Car1 high)
GO:0051098	GO:0051098	regulation of binding	12/274	408/28943	0.000562441031354994	0.0121604897498191	0.00933338677418813	Abl1/Bmp2/Ckmt1/Cyp2d10/Cyp2d26/Cyp2d34/Cyp2d9/Dhrs7b/Edf1/Hsp90ab1/Plscr1/Rb1	12	1	GF	EC (Car1 high)
GO:2001244	GO:2001244	positive regulation of intrinsic apoptotic signaling pathway	5/274	71/28943	0.000573348482940627	0.0123158232569324	0.00945260793474226	Fis1/Mcl1/Plscr1/Slc9a3r1/Sod1	5	1	GF	EC (Car1 high)
GO:0000041	GO:0000041	transition metal ion transport	6/274	109/28943	0.000611090530686577	0.0129040553609142	0.00990408627586237	Atox1/Fkbp4/Hsd3b3/Slc30a4/Slc40a1/Snx3	6	1	GF	EC (Car1 high)
GO:0071280	GO:0071280	cellular response to copper ion	3/274	18/28943	0.000616336380599893	0.0129040553609142	0.00990408627586237	Aoc1/Mt1/Mt2	3	1	GF	EC (Car1 high)
GO:1901160	GO:1901160	primary amino compound metabolic process	3/274	18/28943	0.000616336380599893	0.0129040553609142	0.00990408627586237	Btbd9/Ddc/Maoa	3	1	GF	EC (Car1 high)
GO:0035725	GO:0035725	sodium ion transmembrane transport	7/274	153/28943	0.000660997802575771	0.0137520800686833	0.0105549599457978	Atp1b1/Glrx/Slc5a1/Slc6a6/Slc9a2/Slc9a3r1/Trpm4	7	1	GF	EC (Car1 high)
GO:0045861	GO:0045861	negative regulation of proteolysis	11/274	361/28943	0.000710596296094865	0.0142262374917942	0.010918883991029	Cst3/Dpep1/Gabarapl2/Hsp90ab1/Hspa1b/Sdcbp/Spink1/Spint1/Spint2/Tm4sf20/Tmem59	11	1	GF	EC (Car1 high)
GO:0008206	GO:0008206	bile acid metabolic process	4/274	43/28943	0.000725316774817925	0.0142262374917942	0.010918883991029	Ces1f/Ces1g/Malrd1/Scp2	4	1	GF	EC (Car1 high)
GO:1901568	GO:1901568	fatty acid derivative metabolic process	4/274	43/28943	0.000725316774817925	0.0142262374917942	0.010918883991029	Acsl3/Cyp4f14/Hpgd/Oxct1	4	1	GF	EC (Car1 high)
GO:1990748	GO:1990748	cellular detoxification	4/274	43/28943	0.000725316774817925	0.0142262374917942	0.010918883991029	Abcg2/Aldh1a1/Esd/Sod1	4	1	GF	EC (Car1 high)
GO:1904251	GO:1904251	regulation of bile acid metabolic process	3/274	19/28943	0.000726793874278482	0.0142262374917942	0.010918883991029	Ces1f/Ces1g/Malrd1	3	1	GF	EC (Car1 high)
GO:1904478	GO:1904478	regulation of intestinal absorption	3/274	19/28943	0.000726793874278482	0.0142262374917942	0.010918883991029	Abcb1a/Abcg2/Isx	3	1	GF	EC (Car1 high)
GO:0043954	GO:0043954	cellular component maintenance	5/274	75/28943	0.000737082121387018	0.0143427509267544	0.0110083100729752	Afdn/Cntnap2/Hspa8/Neat1/Sdf4	5	1	GF	EC (Car1 high)
GO:0048732	GO:0048732	gland development	13/274	483/28943	0.000764721054727231	0.0147075421455679	0.0112882936597435	Abl1/Bmp2/Cited2/Edn1/Fkbp4/Hnf4a/Lbh/Lmo4/Lrp6/Nfkb1/Sema3c/Slc9a3r1/Vdr	13	1	GF	EC (Car1 high)
GO:0009110	GO:0009110	vitamin biosynthetic process	3/274	20/28943	0.00084908969366942	0.0157797118351598	0.0121112024904237	Gsto1/Nfkb1/Rfk	3	1	GF	EC (Car1 high)
